Date,LogPNL,NAV,Drawdown,ExpCut
2011-09-15,0.008103477868108833,140147.75462625665,-0.14604680158901562,0.5
2011-09-16,0.0046553973660712344,140801.7191653018,-0.1420620419954406,0.5
2011-09-19,-0.0052001713341987,140071.42657050138,-0.14651188636696677,0.5
2011-09-20,-0.0003099045885659457,140028.02451827514,-0.14677634526903793,0.5
2011-09-21,-0.014491788570655473,138013.40099982123,-0.1590519197280481,0.5
2011-09-22,-0.010028509349931714,136636.24924885874,-0.16744322892574381,0.5
2011-09-23,-0.0024347967918760816,136303.97242495732,-0.1694678696863836,0.5
2011-09-26,0.005659182607392399,137077.5282774232,-0.16475441212065656,0.5
2011-09-27,0.0025776472709830855,137431.32157537373,-0.16259866642807008,0.5
2011-09-28,-0.009715435215058132,136102.5815694069,-0.17069499148856038,0.5
2011-09-29,0.0027070589822226765,136471.51842696252,-0.16844697252913077,0.5
2011-09-30,-0.010643278610635853,135026.71638807718,-0.1772504908264242,0.5
2011-10-03,-0.01046301965261831,133621.29450079126,-0.18581405660716177,0.5
2011-10-04,0.012065290671139817,135243.2392002626,-0.17593116645702744,0.5
2011-10-05,0.012955522530785135,137006.78519591966,-0.16518546633823228,0.5
2011-10-06,0.0009303483700069393,137134.30854657915,-0.1644084365994528,0.5
2011-10-07,0.0014286617578451732,137330.36710622392,-0.16321380572911903,0.5
2011-10-10,0.00872491153897359,138533.80471999635,-0.15588097758563824,0.5
2011-10-11,0.0007936041548206596,138643.7893593662,-0.1552108153356868,0.5
2011-10-12,0.00782782495306078,139733.32746665808,-0.14857200364731005,0.5
2011-10-13,0.0015863029306983911,139955.1627560014,-0.14722030910635697,0.5
2011-10-14,0.007595362945215456,141022.2202277478,-0.1407184772124661,0.5
2011-10-17,-0.018689950259723975,138410.99974755378,-0.1566292571372997,0.5
2011-10-18,0.010295818712710236,139843.4156023327,-0.14790121077005602,0.5
2011-10-19,-0.014710285239156295,137801.33568314806,-0.16034408352994434,0.5
2011-10-20,-0.0016365857210094426,137575.99642863212,-0.1617171285539949,0.5
2011-10-21,0.008941360133614129,138811.62884347234,-0.15418812992303566,0.5
2011-10-24,0.008248316637995412,139961.3261265525,-0.1471827542414278,0.5
2011-10-25,-0.012749593269168358,138188.20346010584,-0.15798680726550296,0.5
2011-10-26,0.006934177847389478,139149.7549710632,-0.15212784798064882,0.5
2011-10-27,0.014524485919946706,141185.58251229388,-0.13972307242870863,0.5
2011-10-28,-0.0006827426231517109,141089.22199579724,-0.14031021969683488,0.5
2011-10-31,-0.01566401152401431,138896.4176880988,-0.15367149157052395,0.5
2011-11-01,-0.012864217622357899,137121.0676716835,-0.1644891163613017,0.5
2011-11-02,0.005546980252643774,137883.7889705921,-0.15984167627611345,0.5
2011-11-03,0.00677824854016551,138821.57424220315,-0.15412753027177273,0.5
2011-11-04,-0.003060456506999376,138397.36631806073,-0.1567123288265463,0.5
2011-11-07,0.002001190594286051,138674.60313514344,-0.15502305975979302,0.5
2011-11-08,0.009960978959096423,140062.84056251752,-0.1465642029310027,0.5
2011-11-09,-0.02582448554460548,136492.09454375738,-0.16832159741488284,0.5
2011-11-10,0.011456403069108667,138064.7945358457,-0.158738766837495,0.5
2011-11-11,0.005592317790127144,138839.05969306108,-0.15402098731126923,0.5
2011-11-14,-0.0019603111818708996,138567.15852438723,-0.15567774501858989,0.5
2011-11-15,0.0014579151330926798,138769.3250167349,-0.1544458970791618,0.5
2011-11-16,-0.009355412246793371,137477.13468538324,-0.16231951638441722,0.5
2011-11-17,-0.002095198606456794,137189.39432623208,-0.16407278600093245,0.5
2011-11-18,0.009485513972307569,138496.89760976512,-0.15610586128006565,0.5
2011-11-21,-0.0009743522903549184,138362.01856089782,-0.15692771101633884,0.5
2011-11-22,0.003245807732216388,138811.84470024865,-0.15418681465697937,0.5
